,ServiceProvider,TestType,LSA,month,DataSpeed,RxLevel
2850,JIO,download,Chennai,2019-11-01,7649.239894551845,-95.90333919156414
2851,JIO,download,Chennai,2019-12-01,7528.4322344322345,-94.17673992673993
2852,JIO,download,Chennai,2020-01-01,7119.487848784878,-94.01170117011701
2853,JIO,download,Chennai,2020-02-01,7507.525669642857,-94.41183035714286
2854,JIO,download,Chennai,2020-03-01,6521.584206848358,-89.82809224318659
2855,JIO,download,Chennai,2020-04-01,6985.726466575717,-86.22578444747613
2856,JIO,download,Chennai,2020-05-01,8794.842032967033,-91.47115384615384
2857,JIO,download,Chennai,2020-06-01,9084.466346153846,-93.70192307692308
2858,JIO,download,Chennai,2020-07-01,9381.515325670498,-93.19444444444444
2859,JIO,download,Chennai,2020-08-01,10445.096682464455,-90.51374407582938
2860,JIO,download,Chennai,2020-09-01,10979.768996960487,-91.21428571428571
2861,JIO,download,Chennai,2020-10-01,19132.651147098517,-80.82860998650472
2862,JIO,download,Chennai,2020-11-01,10395.847211611917,-83.47975553857907
2863,JIO,download,Chennai,2020-12-01,9424.882693700218,-85.96451846488053
2864,JIO,download,Delhi,2018-09-01,20976.40132472826,-82.51154891304348
2865,JIO,download,Delhi,2018-10-01,25818.98503753045,-85.52070388228861
2866,JIO,download,Delhi,2018-11-01,30439.813669777384,-82.78379646525207
2867,JIO,download,Delhi,2018-12-01,17883.563870266353,-87.05535423083892
2868,JIO,download,Delhi,2019-01-01,21259.469090260012,-83.09490093413459
2869,JIO,download,Delhi,2019-02-01,33271.01379475321,-80.50015947691571
2870,JIO,download,Delhi,2019-03-01,35222.37971463773,-76.75036763244704
2871,JIO,download,Delhi,2019-04-01,39025.09217918759,-75.40177994332024
2872,JIO,download,Delhi,2019-05-01,41957.03995392264,-78.77349339153632
2873,JIO,download,Delhi,2019-06-01,39977.88892138227,-77.79787493298241
2874,JIO,download,Delhi,2019-07-01,37782.9439477304,-77.47985851837296
2875,JIO,download,Delhi,2019-08-01,32603.31518930958,-80.22672605790646
2876,JIO,download,Delhi,2019-09-01,29779.662409804147,-82.3964036192876
2877,JIO,download,Delhi,2019-10-01,27205.720694259013,-84.01450823319982
2878,JIO,download,Delhi,2019-11-01,41656.476009905586,-77.06864262498065
2879,JIO,download,Delhi,2019-12-01,27037.899592771697,-87.20717739882922
2880,JIO,download,Delhi,2020-01-01,23546.192364170336,-80.65315712187959
2881,JIO,download,Delhi,2020-02-01,36004.181507558504,-79.28132118451025
2882,JIO,download,Delhi,2020-03-01,24211.07535086524,-80.95994004632784
2883,JIO,download,Delhi,2020-04-01,22214.14281775572,-83.54108078301627
2884,JIO,download,Delhi,2020-05-01,13479.730074388948,-87.81509032943677
2885,JIO,download,Delhi,2020-06-01,24473.2,-83.44054298642534
2886,JIO,download,Delhi,2020-07-01,29206.65029906802,-81.7906523855891
2887,JIO,download,Delhi,2020-08-01,24258.628362973097,-86.38531691746466
2888,JIO,download,Delhi,2020-09-01,38502.92322097378,-79.08272747301167
2889,JIO,download,Delhi,2020-10-01,30585.62640416908,-78.27944412275623
2890,JIO,download,Delhi,2020-11-01,30143.21693430657,-75.5458394160584
2891,JIO,download,Delhi,2020-12-01,12199.32066839069,-80.36900736025463
2892,JIO,download,Gujarat,2018-09-01,17183.1009569378,-85.89063568010937
2893,JIO,download,Gujarat,2018-10-01,10044.580927301797,-91.62193172199756
2894,JIO,download,Gujarat,2018-11-01,15458.956532856047,-87.02497230034945
2895,JIO,download,Gujarat,2018-12-01,15920.19197283112,-84.26687249150973
2896,JIO,download,Gujarat,2019-01-01,10337.55633802817,-90.60570352809928
2897,JIO,download,Gujarat,2019-02-01,12431.436671628038,-90.8829824934439
2898,JIO,download,Gujarat,2019-03-01,16178.161769352291,-87.9898262243286
2899,JIO,download,Gujarat,2019-04-01,18168.04285809951,-89.75631152481083
2900,JIO,download,Gujarat,2019-05-01,10636.13293768546,-91.3472997032641
2901,JIO,download,Gujarat,2019-06-01,6116.442114366015,-94.12398659604366
2902,JIO,download,Gujarat,2019-07-01,12328.156446637879,-90.7024059222702
2903,JIO,download,Gujarat,2019-08-01,17266.18356339702,-89.2125422799159
2904,JIO,download,Gujarat,2019-09-01,17556.02471636953,-89.55551053484604
2905,JIO,download,Gujarat,2019-10-01,17060.74646519158,-90.82698327037237
2906,JIO,download,Gujarat,2019-11-01,27172.671656322258,-87.567238651576
2907,JIO,download,Gujarat,2019-12-01,21082.49241318938,-88.98453457834842
2908,JIO,download,Gujarat,2020-01-01,23348.4834936314,-88.73056927475955
2909,JIO,download,Gujarat,2020-02-01,5996.313599062134,-92.15035169988276
2910,JIO,download,Gujarat,2020-03-01,5595.428442641424,-91.54473743520397
2911,JIO,download,Gujarat,2020-04-01,3824.034443725744,-91.44954721862872
2912,JIO,download,Gujarat,2020-05-01,22202.71355836319,-87.77748444276824
2913,JIO,download,Gujarat,2020-06-01,9213.232476926914,-90.09503616862061
2914,JIO,download,Gujarat,2020-07-01,19341.67448405253,-85.88883677298311
2915,JIO,download,Gujarat,2020-08-01,5756.021442085348,-91.08135379440824
2916,JIO,download,Gujarat,2020-09-01,7435.310417464573,-87.78705476828802
2917,JIO,download,Gujarat,2020-10-01,20174.52733686067,-80.55059523809524
2918,JIO,download,Gujarat,2020-11-01,38296.581370353786,-71.46878638602776
2919,JIO,download,Gujarat,2020-12-01,36340.466030711956,-71.86078796339383
2920,JIO,download,Haryana,2018-09-01,7441.288237828522,-94.5781990521327
2921,JIO,download,Haryana,2018-10-01,8807.519150707743,-93.42922564529559
2922,JIO,download,Haryana,2018-11-01,6991.691267811472,-94.153452685422
2923,JIO,download,Haryana,2018-12-01,6677.908330752555,-91.88231650665841
2924,JIO,download,Haryana,2019-01-01,6557.167527790825,-92.01596993893847
2925,JIO,download,Haryana,2019-02-01,7106.955778894472,-91.47236180904522
2926,JIO,download,Haryana,2019-03-01,6013.107710891886,-92.8026978055164
2927,JIO,download,Haryana,2019-04-01,8292.06251655629,-91.54437086092715
2928,JIO,download,Haryana,2019-05-01,6962.8564612326045,-92.2858846918489
2929,JIO,download,Haryana,2019-06-01,6859.920764171626,-92.0632633886627
2930,JIO,download,Haryana,2019-07-01,7808.634385964912,-92.16701754385964
2931,JIO,download,Haryana,2019-08-01,6351.236463331049,-95.05894448252228
2932,JIO,download,Haryana,2019-09-01,6462.857649842272,-94.18611987381703
2933,JIO,download,Haryana,2019-10-01,5394.051171875,-93.395703125
2934,JIO,download,Haryana,2019-11-01,7140.365281173594,-94.16039119804401
2935,JIO,download,Haryana,2019-12-01,5869.552524880206,-94.04312569111684
2936,JIO,download,Haryana,2020-01-01,6107.128485305199,-93.31085154483797
2937,JIO,download,Haryana,2020-02-01,6541.529065969954,-90.85303723056826
2938,JIO,download,Haryana,2020-03-01,5105.526523454625,-90.23586146427006
2939,JIO,download,Haryana,2020-04-01,6427.224706328155,-90.52065176203108
2940,JIO,download,Haryana,2020-05-01,16788.90686535391,-86.78712080894093
2941,JIO,download,Haryana,2020-06-01,15523.469727547932,-87.13420787083754
2942,JIO,download,Haryana,2020-07-01,11468.546149923508,-86.33401325854156
2943,JIO,download,Haryana,2020-08-01,5683.114915844458,-88.16482878699942
2944,JIO,download,Haryana,2020-09-01,7717.420406435224,-85.00973751058424
2945,JIO,download,Haryana,2020-10-01,6565.7928363988385,-83.6055179090029
2946,JIO,download,Haryana,2020-11-01,6963.975690607735,-82.04751381215469
2947,JIO,download,Haryana,2020-12-01,6042.276729559749,-83.2341557813256
2948,JIO,download,Himachal Pradesh,2018-09-01,8103.937810945274,-95.41210613598673
2949,JIO,download,Himachal Pradesh,2018-10-01,9768.033519553073,-93.61931364724661
2950,JIO,download,Himachal Pradesh,2018-11-01,10817.840569395017,-95.2797153024911
2951,JIO,download,Himachal Pradesh,2018-12-01,9143.826393337604,-95.04548366431774
2952,JIO,download,Himachal Pradesh,2019-01-01,7964.605593056895,-95.58148505303761
2953,JIO,download,Himachal Pradesh,2019-02-01,7809.0757731958765,-93.9639175257732
2954,JIO,download,Himachal Pradesh,2019-03-01,7693.369942196532,-95.26184971098266
2955,JIO,download,Himachal Pradesh,2019-04-01,9453.225631768953,-94.72322503008424
2956,JIO,download,Himachal Pradesh,2019-05-01,9243.078782453,-93.34288272157565
2957,JIO,download,Himachal Pradesh,2019-06-01,8913.524110671937,-92.72648221343873
2958,JIO,download,Himachal Pradesh,2019-07-01,9334.22095959596,-93.51830808080808
2959,JIO,download,Himachal Pradesh,2019-08-01,9172.976865671642,-93.60522388059701
2960,JIO,download,Himachal Pradesh,2019-09-01,7223.677966101695,-94.60075329566855
2961,JIO,download,Himachal Pradesh,2019-10-01,9143.927118644067,-91.6728813559322
2962,JIO,download,Himachal Pradesh,2019-11-01,6566.39751552795,-94.09937888198758
2963,JIO,download,Himachal Pradesh,2019-12-01,7605.194061505832,-94.48780487804878
2964,JIO,download,Himachal Pradesh,2020-01-01,6520.917857142857,-93.26666666666667
2965,JIO,download,Himachal Pradesh,2020-02-01,8476.135321100917,-91.73853211009174
2966,JIO,download,Himachal Pradesh,2020-03-01,6206.230245231608,-91.61852861035422
2967,JIO,download,Himachal Pradesh,2020-04-01,5647.747005988024,-95.58383233532935
2968,JIO,download,Himachal Pradesh,2020-05-01,6314.167410714285,-92.44196428571429
2969,JIO,download,Himachal Pradesh,2020-06-01,9188.639318885449,-89.89628482972137
